"","plot","variable","value","date"
"123",2,"def",0.91014951467514,2013-03-01
"124",2,"def",0.840901494026184,2013-04-01
"125",2,"def",0.29704362154007,2013-05-01
"126",2,"def",0.58123642206192,2013-06-01
"127",2,"def",0.294549971818924,2013-07-01
"128",2,"def",-0.232999563217163,2013-08-01
"129",2,"def",-2.39834761619568,2013-09-01
"130",2,"def",-0.560299158096313,2013-10-01
"131",2,"def",0.788704097270966,2013-11-01
"132",2,"def",-0.674490749835968,2013-12-01
"133",2,"def",3,2014-01-01
"134",2,"def",-0.445695161819458,2014-02-01
"135",2,"def",0.23332704603672,2014-03-01
"136",2,"def",0.879863679409027,2014-04-01
"137",2,"def",0.75127899646759,2014-05-01
"138",2,"def",0.368748605251312,2014-06-01
"139",2,"def",-0.00978214852511883,2014-07-01
"140",2,"def",-3,2014-08-01
"141",2,"def",-0.867768466472626,2014-09-01
"142",2,"def",1.1398047208786,2014-10-01
"143",2,"def",-0.414524883031845,2014-11-01
"144",2,"def",-0.674490749835968,2014-12-01
"145",2,"def",3,2015-01-01
"146",2,"def",1.98709964752197,2015-02-01
"147",2,"def",1.83407831192017,2015-03-01
"148",2,"def",0.490188181400299,2015-04-01
"149",2,"def",-0.967802405357361,2015-05-01
"150",2,"def",0.537565231323242,2015-06-01
"151",2,"def",-2.30335426330566,2015-07-01
"152",2,"def",-0.577874600887299,2015-08-01
"153",2,"def",0.284753084182739,2015-09-01
"154",2,"def",-1.37580454349518,2015-10-01
"155",2,"def",-0.435174584388733,2015-11-01
"156",2,"def",-0.674490630626678,2015-12-01
"157",2,"def",-0.674490749835968,2016-01-01
"158",2,"def",-0.629398584365845,2016-02-01
"159",2,"def",0.0471989773213863,2016-03-01
"160",2,"def",0.274450093507767,2016-04-01
"161",2,"def",0.0518717765808105,2016-05-01
"162",2,"def",0.70717442035675,2016-06-01
"163",2,"def",0.893752336502075,2016-07-01
"164",2,"def",0.892556965351105,2016-08-01
"165",2,"def",-0.204338669776917,2016-09-01
"166",2,"def",-1.00199460983276,2016-10-01
"167",2,"def",1.11140084266663,2016-11-01
"168",2,"def",-0.674490749835968,2016-12-01
"169",3,"def",-0.674490749835968,2010-01-01
"170",3,"def",0.827910363674164,2010-02-01
"171",3,"def",0.687578141689301,2010-03-01
"172",3,"def",0.00028852018294856,2010-04-01
"173",3,"def",-1.15430319309235,2010-05-01
"174",3,"def",0.0740861296653748,2010-06-01
"175",3,"def",0.968376159667969,2010-07-01
"176",3,"def",-0.0972900614142418,2010-08-01
"177",3,"def",0.442383348941803,2010-09-01
"178",3,"def",-1.80700170993805,2010-10-01
"179",3,"def",-0.435808777809143,2010-11-01
"180",3,"def",-0.674490749835968,2010-12-01
"181",3,"def",3,2011-01-01
"182",3,"def",0.599929869174957,2011-02-01
"183",3,"def",-0.628383636474609,2011-03-01
"184",3,"def",-1.25851380825043,2011-04-01
"185",3,"def",-1.44611120223999,2011-05-01
"186",3,"def",-0.538771152496338,2011-06-01
"187",3,"def",0.349714636802673,2011-07-01
"188",3,"def",0.341533005237579,2011-08-01
"189",3,"def",0.439942896366119,2011-09-01
"190",3,"def",-0.373039960861206,2011-10-01
"191",3,"def",0.889426648616791,2011-11-01
"192",3,"def",3,2011-12-01
"193",3,"def",3,2012-01-01
"194",3,"def",2.16061615943909,2012-02-01
"195",3,"def",0.723721265792847,2012-03-01
"196",3,"def",1.0763441324234,2012-04-01
"197",3,"def",1.38122308254242,2012-05-01
"198",3,"def",0.748262882232666,2012-06-01
"199",3,"def",0.364328145980835,2012-07-01
"200",3,"def",0.18387658894062,2012-08-01
"201",3,"def",1.00942838191986,2012-09-01
"202",3,"def",0.81807267665863,2012-10-01
"203",3,"def",1.76925349235535,2012-11-01
