lhs,rhs,est.std,se,z,pvalue,ci.lower,ci.upper,response
T_tmn,i_tmn_png+tmn_pcn,-0.35,0.101,-3.46,0.001,-0.548,-0.152,pcn
i_lit,lit_png*png_pcn,-0.173,0.083,-2.079,0.038,-0.336,-0.01,pcn
i_aet,aet_aig*aig_lit*lit_png*png_pcn,-0.046,0.027,-1.685,0.092,-0.099,0.007,pcn
i_p2,p2_aig*aig_lit*lit_png*png_pcn,-0.061,0.035,-1.74,0.082,-0.129,0.008,pcn
i_cwd,cwd_aig*aig_lit*lit_png*png_pcn,-0.033,0.021,-1.592,0.111,-0.074,0.008,pcn
T_aet,i_aet+aet_pcn,0.345,0.118,2.917,0.004,0.113,0.578,pcn
T_p2,i_p2+p2_pcn,0.879,0.075,11.664,0,0.731,1.026,pcn
T_cwd,i_cwd+cwd_pcn,0.304,0.118,2.582,0.01,0.073,0.535,pcn
i_tmn_aig,tmn_aig*aig_ocn,0.149,0.071,2.103,0.035,0.01,0.288,ocn
T_tmn,i_tmn_aig+tmn_ocn,-0.148,0.122,-1.217,0.224,-0.387,0.09,ocn
i_p2_aig,p2_aig*aig_ocn,-0.372,0.143,-2.597,0.009,-0.653,-0.091,ocn
T_p2,i_p2_aig+p2_ocn,0.619,0.13,4.752,0,0.364,0.874,ocn
i_aet_aig,aet_aig*aig_ocn,-0.236,0.098,-2.413,0.016,-0.427,-0.044,ocn
T_aet,i_aet_aig+aet_ocn,0.185,0.132,1.402,0.161,-0.074,0.444,ocn
i_cwd_aig,cwd_aig*aig_ocn,-0.135,0.067,-2.017,0.044,-0.266,-0.004,ocn
T_cwd,i_cwd_aig+cwd_ocn,0.274,0.115,2.378,0.017,0.048,0.5,ocn
i_shr,shr_aig*aig_ocn,0.37,0.143,2.583,0.01,0.089,0.651,ocn
