"","plot","date","variable","value","mean","sd","z","month","norm","anomaly","amean","asd","z_anom"
"3841","24",2014-05-01,"aet",9.42070007324219,20.7090106409235,15.0855625832308,-0.748285687418074,5,25.1062889099121,-15.6855888366699,-0.710295112784436,12.8997929955627,-1.16089411117192
"3842","24",2014-05-01,"aet",9.42070007324219,20.7090106409235,15.0855625832308,-0.748285687418074,5,25.1062889099121,-15.6855888366699,-0.710295112784436,12.8997929955627,-1.16089411117192
"3843","25",2014-05-01,"aet",21.2741584777832,20.7090106409235,15.0855625832308,0.0374628280345322,5,37.3417625427246,-16.0676040649414,-0.710295112784436,12.8997929955627,-1.19050816997138
"3844","25",2014-05-01,"aet",21.2741584777832,20.7090106409235,15.0855625832308,0.0374628280345322,5,37.3417625427246,-16.0676040649414,-0.710295112784436,12.8997929955627,-1.19050816997138
"3845","26",2014-05-01,"aet",21.8495712280273,20.7090106409235,15.0855625832308,0.0756061022458481,5,40.4688758850098,-18.6193046569825,-0.710295112784436,12.8997929955627,-1.38831759163565
"3846","26",2014-05-01,"aet",21.8495712280273,20.7090106409235,15.0855625832308,0.0756061022458481,5,40.4688758850098,-18.6193046569825,-0.710295112784436,12.8997929955627,-1.38831759163565
"3847","27",2014-05-01,"aet",12.7882871627808,20.7090106409235,15.0855625832308,-0.525053237785602,5,27.6359672546387,-14.8476800918579,-0.710295112784436,12.8997929955627,-1.09593890258057
"3848","27",2014-05-01,"aet",12.7882871627808,20.7090106409235,15.0855625832308,-0.525053237785602,5,27.6359672546387,-14.8476800918579,-0.710295112784436,12.8997929955627,-1.09593890258057
"3849","28",2014-05-01,"aet",21.3517684936523,20.7090106409235,15.0855625832308,0.0426074830940268,5,31.0207862854004,-9.6690177917481,-0.710295112784436,12.8997929955627,-0.694485770589132
"3850","28",2014-05-01,"aet",21.3517684936523,20.7090106409235,15.0855625832308,0.0426074830940268,5,31.0207862854004,-9.6690177917481,-0.710295112784436,12.8997929955627,-0.694485770589132
