"","plot","date","variable","value"
"4176",8,201612,"tmin",-7.22700023651123
"4177",10,201101,"tmin",-6.15000009536743
"4178",10,201102,"tmin",-5.92999982833862
"4179",10,201103,"tmin",-1.77999997138977
"4180",10,201104,"tmin",-1.50999999046326
"4181",10,201105,"tmin",2.04999995231628
"4182",10,201106,"tmin",6.78000020980835
"4183",10,201107,"tmin",12.4499998092651
"4184",10,201108,"tmin",12.8199996948242
"4185",10,201109,"tmin",9.53999996185303
"4186",10,201110,"tmin",3.00999999046326
"4187",10,201111,"tmin",-3.85999989509583
"4188",10,201112,"tmin",-8.27000045776367
"4189",10,201201,"tmin",-6.19000005722046
"4190",10,201202,"tmin",-5.67000007629395
"4191",10,201203,"tmin",-2.01999998092651
"4192",10,201204,"tmin",1.27999997138977
"4193",10,201205,"tmin",4.48000001907349
"4194",10,201206,"tmin",7.92999982833862
"4195",10,201207,"tmin",14.7200002670288
"4196",10,201208,"tmin",14.3299999237061
"4197",10,201209,"tmin",9.64000034332275
"4198",10,201210,"tmin",2.92000007629395
"4199",10,201211,"tmin",-0.75
"4200",10,201212,"tmin",-4.8600001335144
"4201",10,201301,"tmin",-12.5699996948242
"4202",10,201302,"tmin",-4.8600001335144
"4203",10,201303,"tmin",-1.70000004768372
"4204",10,201304,"tmin",0.0900000035762787
"4205",10,201305,"tmin",4.57000017166138
"4206",10,201306,"tmin",9.14999961853027
"4207",10,201307,"tmin",16.2199993133545
"4208",10,201308,"tmin",13.7399997711182
"4209",10,201309,"tmin",8.60999965667725
"4210",10,201310,"tmin",0.519999980926514
"4211",10,201311,"tmin",-1.32000005245209
"4212",10,201312,"tmin",-10.2399997711182
"4213",10,201401,"tmin",-4.71999979019165
"4214",10,201402,"tmin",-2.04999995231628
"4215",10,201403,"tmin",-1.41999995708466
"4216",10,201404,"tmin",0.970000028610229
"4217",10,201405,"tmin",5.07999992370605
"4218",10,201406,"tmin",9.14999961853027
"4219",10,201407,"tmin",15.9499998092651
"4220",10,201408,"tmin",12.9499998092651
"4221",10,201409,"tmin",9.78999996185303
"4222",10,201410,"tmin",4.19000005722046
"4223",10,201411,"tmin",-1.83000004291534
"4224",10,201412,"tmin",-2.72000002861023
"4225",10,201501,"tmin",-3.72000002861023
"4226",10,201502,"tmin",-1.17999994754791
"4227",10,201503,"tmin",0.280000001192093
"4228",10,201504,"tmin",-0.300000011920929
"4229",10,201505,"tmin",5.94999980926514
"4230",10,201506,"tmin",12.6400003433228
"4231",10,201507,"tmin",13.4099998474121
"4232",10,201508,"tmin",13.6300001144409
"4233",10,201509,"tmin",9.05000019073486
"4234",10,201510,"tmin",6.59999990463257
"4235",10,201511,"tmin",-3.54999995231628
"4236",10,201512,"tmin",-5.55000019073486
"4237",10,201601,"tmin",-5.76000022888184
"4238",10,201602,"tmin",-2.71000003814697
"4239",10,201603,"tmin",-0.560000002384186
"4240",10,201604,"tmin",2.58999991416931
"4241",10,201605,"tmin",4.86399984359741
"4242",10,201606,"tmin",10.1730003356934
"4243",10,201607,"tmin",13.3509998321533
"4244",10,201608,"tmin",13.4379997253418
"4245",10,201609,"tmin",7.68900012969971
"4246",10,201610,"tmin",3.7590000629425
"4247",10,201611,"tmin",-0.101000003516674
"4248",10,201612,"tmin",-8.38099956512451
"4249",11,201101,"tmin",-5
"4250",11,201102,"tmin",-4.92999982833862
"4251",11,201103,"tmin",-1.27999997138977
"4252",11,201104,"tmin",-1.13999998569489
"4253",11,201105,"tmin",2.84999990463257
"4254",11,201106,"tmin",7.82999992370605
"4255",11,201107,"tmin",13.9099998474121
"4256",11,201108,"tmin",15.0900001525879
"4257",11,201109,"tmin",11.9200000762939
"4258",11,201110,"tmin",4.82999992370605
"4259",11,201111,"tmin",-2.46000003814697
"4260",11,201112,"tmin",-6.21000003814697
"4261",11,201201,"tmin",-4.28999996185303
"4262",11,201202,"tmin",-4.32999992370605
"4263",11,201203,"tmin",-1.0900000333786
"4264",11,201204,"tmin",2.5
"4265",11,201205,"tmin",5.65999984741211
"4266",11,201206,"tmin",9.0600004196167
"4267",11,201207,"tmin",16.4599990844727
"4268",11,201208,"tmin",16.7099990844727
"4269",11,201209,"tmin",12.3800001144409
"4270",11,201210,"tmin",4.8899998664856
"4271",11,201211,"tmin",1.21000003814697
"4272",11,201212,"tmin",-4.23000001907349
"4273",11,201301,"tmin",-10.2399997711182
"4274",11,201302,"tmin",-3.54999995231628
"4275",11,201303,"tmin",-0.180000007152557
"4276",11,201304,"tmin",1.23000001907349
"4277",11,201305,"tmin",5.84999990463257
"4278",11,201306,"tmin",10.2799997329712
"4279",11,201307,"tmin",18.1700000762939
"4280",11,201308,"tmin",15.4700002670288
"4281",11,201309,"tmin",9.75
"4282",11,201310,"tmin",2.41000008583069
"4283",11,201311,"tmin",0.300000011920929
"4284",11,201312,"tmin",-8.10999965667725
"4285",11,201401,"tmin",-2.66000008583069
"4286",11,201402,"tmin",-1.05999994277954
"4287",11,201403,"tmin",-0.0599999986588955
"4288",11,201404,"tmin",2.13000011444092
"4289",11,201405,"tmin",6.44000005722046
"4290",11,201406,"tmin",10.1800003051758
"4291",11,201407,"tmin",17.1499996185303
"4292",11,201408,"tmin",14.1599998474121
"4293",11,201409,"tmin",11.0799999237061
"4294",11,201410,"tmin",6.09999990463257
"4295",11,201411,"tmin",-0.589999973773956
"4296",11,201412,"tmin",-2.08999991416931
"4297",11,201501,"tmin",-1.94000005722046
"4298",11,201502,"tmin",0.46000000834465
"4299",11,201503,"tmin",1.80999994277954
"4300",11,201504,"tmin",1.03999996185303
"4301",11,201505,"tmin",6.75
"4302",11,201506,"tmin",14.0900001525879
"4303",11,201507,"tmin",14.2799997329712
"4304",11,201508,"tmin",15.5600004196167
"4305",11,201509,"tmin",11.3999996185303
"4306",11,201510,"tmin",8.15999984741211
"4307",11,201511,"tmin",-2.57999992370605
"4308",11,201512,"tmin",-4.86999988555908
"4309",11,201601,"tmin",-4.55999994277954
"4310",11,201602,"tmin",-1.13999998569489
"4311",11,201603,"tmin",0.330000013113022
"4312",11,201604,"tmin",3.90000009536743
"4313",11,201605,"tmin",5.94799995422363
"4314",11,201606,"tmin",11.6590003967285
"4315",11,201607,"tmin",15.21399974823
"4316",11,201608,"tmin",15.8430004119873
"4317",11,201609,"tmin",9.72799968719482
"4318",11,201610,"tmin",5.25500011444092
"4319",11,201611,"tmin",1.72599995136261
"4320",11,201612,"tmin",-7.22800016403198
"4321",12,201101,"tmin",-5.51999998092651
"4322",12,201102,"tmin",-5.88000011444092
"4323",12,201103,"tmin",-0.970000028610229
"4324",12,201104,"tmin",-0.810000002384186
"4325",12,201105,"tmin",2.50999999046326
"4326",12,201106,"tmin",7.17000007629395
"4327",12,201107,"tmin",13
